Student,Question,Grade
28.0,9.0,C
29.0,9.0,C
30.0,9.0,C
31.0,9.0,C
32.0,9.0,C
33.0,9.0,C
34.0,9.0,C
35.0,9.0,C
36.0,9.0,C
37.0,9.0,C
38.0,9.0,C
39.0,9.0,C
40.0,9.0,C
41.0,9.0,C
42.0,9.0,C
43.0,9.0,C
44.0,9.0,C
45.0,9.0,C
46.0,9.0,C
47.0,9.0,C
48.0,9.0,C
49.0,9.0,C
50.0,9.0,C
51.0,9.0,C
52.0,9.0,C
53.0,9.0,C
54.0,9.0,C
55.0,9.0,C
56.0,9.0,C
57.0,9.0,C
58.0,9.0,C
59.0,9.0,C
60.0,9.0,C
61.0,9.0,C
62.0,9.0,C
63.0,9.0,C
64.0,9.0,C
1.0,9.0,C
2.0,9.0,C
3.0,9.0,C
4.0,9.0,C
5.0,9.0,C
6.0,9.0,C
7.0,9.0,C
8.0,9.0,C
9.0,9.0,C
10.0,9.0,C
11.0,9.0,C
12.0,9.0,C
13.0,9.0,C
14.0,9.0,C
15.0,9.0,C
16.0,9.0,C
17.0,9.0,C
18.0,9.0,C
19.0,9.0,C
20.0,9.0,C
21.0,9.0,C
22.0,9.0,C
23.0,9.0,C
24.0,9.0,C
25.0,9.0,C
26.0,9.0,C
27.0,9.0,C
28.0,9.0,C
29.0,9.0,C
30.0,9.0,C
31.0,9.0,C
32.0,9.0,C
33.0,9.0,C
34.0,9.0,C
35.0,9.0,C
36.0,9.0,C
37.0,9.0,C
38.0,9.0,C
39.0,9.0,C
40.0,9.0,C
41.0,9.0,C
42.0,9.0,C
43.0,9.0,C
44.0,9.0,C
45.0,9.0,C
46.0,9.0,C
47.0,9.0,C
48.0,9.0,C
49.0,9.0,C
50.0,9.0,C
51.0,9.0,C
52.0,9.0,C
53.0,9.0,C
54.0,9.0,C
55.0,9.0,C
56.0,9.0,C
57.0,9.0,C
58.0,9.0,C
59.0,9.0,C
60.0,9.0,C
61.0,9.0,C
62.0,9.0,C
63.0,9.0,C
64.0,9.0,C
1.0,9.0,C
2.0,9.0,C
3.0,9.0,C
4.0,9.0,C
5.0,9.0,C
6.0,9.0,C
7.0,9.0,C
8.0,9.0,C
9.0,9.0,C
10.0,9.0,C
11.0,9.0,C
12.0,9.0,C
13.0,9.0,C
14.0,9.0,C
15.0,9.0,C
16.0,9.0,C
17.0,9.0,C
18.0,9.0,C
19.0,9.0,C
20.0,9.0,C
21.0,9.0,C
22.0,9.0,C
23.0,9.0,C
24.0,9.0,C
25.0,9.0,C
26.0,9.0,C
27.0,9.0,C
28.0,9.0,C
29.0,9.0,C
30.0,9.0,C
31.0,9.0,C
32.0,9.0,C
33.0,9.0,C
34.0,9.0,C
35.0,9.0,C
36.0,9.0,C
37.0,9.0,C
38.0,9.0,C
39.0,9.0,C
40.0,9.0,C
41.0,9.0,C
42.0,9.0,C
43.0,9.0,C
44.0,9.0,C
45.0,9.0,C
46.0,9.0,C
47.0,9.0,C
48.0,9.0,C
49.0,9.0,C
50.0,9.0,C
51.0,9.0,C
52.0,9.0,C
53.0,9.0,C
54.0,9.0,C
55.0,9.0,C
56.0,9.0,C
57.0,9.0,C
58.0,9.0,C
59.0,9.0,C
60.0,9.0,C
61.0,9.0,C
62.0,9.0,C
63.0,9.0,C
64.0,9.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
1.0,10.0,C
2.0,10.0,C
3.0,10.0,C
4.0,10.0,C
5.0,10.0,C
6.0,10.0,C
7.0,10.0,C
8.0,10.0,C
9.0,10.0,C
10.0,10.0,C
11.0,10.0,C
12.0,10.0,C
13.0,10.0,C
14.0,10.0,C
15.0,10.0,C
16.0,10.0,C
17.0,10.0,C
18.0,10.0,C
19.0,10.0,C
20.0,10.0,C
21.0,10.0,C
22.0,10.0,C
23.0,10.0,C
24.0,10.0,C
25.0,10.0,C
26.0,10.0,C
27.0,10.0,C
28.0,10.0,C
29.0,10.0,C
30.0,10.0,C
31.0,10.0,C
32.0,10.0,C
33.0,10.0,C
34.0,10.0,C
35.0,10.0,C
36.0,10.0,C
37.0,10.0,C
38.0,10.0,C
39.0,10.0,C
40.0,10.0,C
41.0,10.0,C
42.0,10.0,C
43.0,10.0,C
44.0,10.0,C
45.0,10.0,C
46.0,10.0,C
47.0,10.0,C
48.0,10.0,C
49.0,10.0,C
50.0,10.0,C
51.0,10.0,C
52.0,10.0,C
53.0,10.0,C
54.0,10.0,C
55.0,10.0,C
56.0,10.0,C
57.0,10.0,C
58.0,10.0,C
59.0,10.0,C
60.0,10.0,C
61.0,10.0,C
62.0,10.0,C
63.0,10.0,C
64.0,10.0,C
